bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,pac_num,tcp_num,ack_num,sum_byte,mean_payload,stand_payload,skew_payload,kurt_payload,time_duration,avg_byte,pop_byte,pop_pac_num,push_byte,push_pac_num,class_value
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.09166288375854492,3076.4905972501833,152,2,0,1,1
4,4,0,0,0,4,0,0,0,4,8,0,4,596,74.5,79.6761301413,0.00302995394917,-2.79319914791,1.4029591083526611,424.81637308717893,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.06963396072387695,4049.7480980326363,304,4,146,3,1
4,4,0,0,0,4,0,0,0,4,8,0,4,580,72.5,77.8037825008,0.0274127712699,-2.74316073024,1.4231770038604736,407.5389065637702,152,2,0,1,1
4,4,0,0,0,4,0,0,0,4,8,0,4,596,74.5,79.6761301413,0.00302995394917,-2.79319914791,1.3410849571228027,444.4162890907921,304,4,146,3,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.07816410064697266,3607.794341211064,304,4,146,3,1
4,4,0,0,0,4,0,0,0,4,8,0,4,580,72.5,77.8037825008,0.0274127712699,-2.74316073024,1.4129657745361328,410.4841111175606,152,2,0,1,1
6,6,0,0,0,6,0,0,0,6,12,0,6,894,74.5,77.8442500942,0.00279113106485,-2.43929882619,2.6538119316101074,336.87390931941314,304,4,130,3,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.0656580924987793,4294.97704346563,456,6,292,5,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.0910499095916748,3272.930213071269,152,2,0,1,1
3,2,0,0,0,3,0,0,0,2,5,1,2,330,66.0,90.8405195934,0.655055416598,-3.06250515453,1.2579548358917236,262.3305627392208,152,2,0,1,1
8,0,1,1,0,8,0,1,0,1,10,4,4,962,96.2,218.240336429,2.32954779133,5.10879178026,0.054762840270996094,17566.656426867285,152,2,0,2,1
2,2,0,0,0,2,0,0,0,2,4,0,2,331,82.75,96.1851513142,0.0677909052236,-5.60989402141,0.09892702102661133,3345.900812185188,310,5,652,4,1
2,2,0,0,0,2,0,0,0,2,4,0,2,315,78.75,91.0434877774,0.012626682861,-5.92714415343,0.10067200660705566,3128.973094074823,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,314,78.5,90.7358804443,0.0105083005014,-5.93936100329,0.07317113876342773,4291.309460348906,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,315,78.75,91.0434877774,0.012626682861,-5.92714415343,0.09869694709777832,3191.588081117969,152,2,0,1,1
10,1,0,0,3,11,0,0,0,3,14,2,9,4376,312.571428571,563.384103744,1.53461568398,0.448328658956,0.7719180583953857,5668.995500761507,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,315,78.75,91.0434877774,0.012626682861,-5.92714415343,0.10171699523925781,3096.827617243901,4111,6,265,7,1
2,2,0,0,0,2,0,0,0,2,4,0,2,315,78.75,91.0434877774,0.012626682861,-5.92714415343,0.0966639518737793,3258.712207538514,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,330,82.5,95.8523169603,0.0633275663963,-5.635498992,0.09554004669189453,3454.048971361835,152,2,0,1,1
8,0,0,1,1,8,0,1,0,1,10,4,4,1929,192.9,429.409012481,2.20567004225,4.30016685368,0.1131138801574707,17053.610019517993,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,315,78.75,91.0434877774,0.012626682861,-5.92714415343,0.08896017074584961,3540.9104699216887,1257,5,672,4,1
2,2,0,0,0,2,0,0,0,2,4,0,2,314,78.5,90.7358804443,0.0105083005014,-5.93936100329,0.09364795684814453,3352.982922085196,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,330,82.5,95.8523169603,0.0633275663963,-5.635498992,0.09551787376403809,3454.850772905741,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,314,78.5,90.7358804443,0.0105083005014,-5.93936100329,0.09199094772338867,3413.3793353687297,152,2,0,1,1
17,0,6,0,0,17,0,0,4,2,23,0,10,2615,113.695652174,155.238360648,1.25387745675,0.170946082375,4.963973045349121,526.7957694593172,152,2,0,1,1
4,0,2,0,0,3,1,0,1,1,6,0,3,886,147.666666667,194.007903619,0.999463708125,-0.635543794654,0.14403009414672852,6151.492195078347,1612,10,924,12,1
38,0,12,0,0,38,0,0,6,6,50,0,25,5263,105.26,146.473485795,1.18034394303,-0.238169942305,9.160701036453247,574.5193494533775,578,2,308,3,1
18,2,4,0,0,18,0,2,2,2,24,2,10,2365,98.5416666667,137.784323954,1.35419576213,0.63543934319,3.6498658657073975,647.9690177714594,3360,24,1824,25,1
18,0,6,0,0,18,0,0,3,3,24,0,12,2624,109.333333333,153.063688554,1.19255788919,-0.192657557435,5.66448187828064,463.23742513171777,1239,9,1047,14,1
4,0,2,0,0,4,0,0,1,1,6,0,3,801,133.5,182.454103818,1.02164718685,-0.970506145108,0.4325850009918213,1851.659207239005,1633,11,912,12,1
54,0,16,0,0,54,0,0,8,8,70,0,35,7277,103.957142857,147.402774217,1.26797081543,0.0370133970448,17.589658975601196,413.7089872006049,418,2,304,3,1
30,0,10,0,0,30,0,0,5,5,40,0,20,4368,109.2,151.478559031,1.15846848144,-0.289728053565,10.847349166870117,402.67902625838843,4766,34,2432,35,1
